time,open,high,low,close
2026-06-28 22:00:00+00:00,4089.8,4092.4,4067.1,4080.8
2026-06-28 23:00:00+00:00,4080.2,4084.8,4065.9,4076.7
2026-06-29 00:00:00+00:00,4076.3,4088.7,4062.6,4083.9
2026-06-29 01:00:00+00:00,4083.7,4088.6,4068.0,4075.8
2026-06-29 02:00:00+00:00,4075.4,4086.5,4073.2,4080.8
2026-06-29 03:00:00+00:00,4081.1,4090.4,4079.9,4083.2
2026-06-29 04:00:00+00:00,4082.8,4083.2,4063.5,4065.7
2026-06-29 05:00:00+00:00,4065.5,4071.7,4053.8,4069.0
2026-06-29 06:00:00+00:00,4068.6,4079.6,4068.1,4077.0
2026-06-29 07:00:00+00:00,4077.5,4083.2,4070.7,4076.3
2026-06-29 08:00:00+00:00,4075.7,4081.0,4057.5,4060.9
2026-06-29 09:00:00+00:00,4061.3,4069.4,4038.1,4045.8
2026-06-29 10:00:00+00:00,4046.5,4053.9,4041.5,4051.1
2026-06-29 11:00:00+00:00,4051.7,4056.7,4041.5,4053.3
2026-06-29 12:00:00+00:00,4053.5,4067.0,4051.8,4057.8
2026-06-29 13:00:00+00:00,4057.8,4066.2,4042.2,4046.4
2026-06-29 14:00:00+00:00,4046.6,4049.6,4012.0,4039.5
2026-06-29 15:00:00+00:00,4039.9,4045.0,4030.5,4041.5
2026-06-29 16:00:00+00:00,4041.5,4043.3,4033.0,4038.4
2026-06-29 17:00:00+00:00,4038.5,4046.7,4033.8,4035.3
2026-06-29 18:00:00+00:00,4035.7,4040.0,4026.1,4027.8
2026-06-29 19:00:00+00:00,4027.7,4034.4,4019.2,4030.4
2026-06-29 20:00:00+00:00,4030.6,4032.5,4027.2,4030.5
2026-06-29 22:00:00+00:00,4032.5,4036.5,4023.5,4028.4
2026-06-29 23:00:00+00:00,4029.0,4036.7,4027.4,4029.4
2026-06-30 00:00:00+00:00,4028.6,4028.9,3992.6,4001.3
2026-06-30 01:00:00+00:00,4000.5,4000.8,3955.4,3982.7
2026-06-30 02:00:00+00:00,3982.4,3986.8,3965.5,3975.8
2026-06-30 03:00:00+00:00,3976.1,3984.2,3973.1,3983.8
2026-06-30 04:00:00+00:00,3982.5,4011.6,3981.3,3999.2
2026-06-30 05:00:00+00:00,3999.7,4004.3,3988.6,3991.1
2026-06-30 06:00:00+00:00,3991.5,4047.8,3991.5,4043.5
2026-06-30 07:00:00+00:00,4043.7,4048.7,4037.5,4046.3
2026-06-30 08:00:00+00:00,4046.4,4051.8,4027.2,4029.0
2026-06-30 09:00:00+00:00,4029.0,4038.0,4025.9,4038.0
2026-06-30 10:00:00+00:00,4038.1,4045.5,4035.5,4043.9
2026-06-30 11:00:00+00:00,4043.9,4051.4,4039.3,4047.5
2026-06-30 12:00:00+00:00,4048.0,4048.2,4022.1,4023.9
2026-06-30 13:00:00+00:00,4023.7,4047.5,4022.9,4043.9
2026-06-30 14:00:00+00:00,4044.4,4078.1,4039.5,4052.0
2026-06-30 15:00:00+00:00,4052.1,4054.3,4036.4,4044.2
2026-06-30 16:00:00+00:00,4043.8,4048.5,4040.1,4040.3
2026-06-30 17:00:00+00:00,4040.8,4047.1,4034.9,4045.5
2026-06-30 18:00:00+00:00,4045.9,4048.7,4042.8,4043.6
2026-06-30 19:00:00+00:00,4043.0,4044.2,4029.1,4030.2
2026-06-30 20:00:00+00:00,4030.2,4036.0,4020.6,4021.8
2026-06-30 22:00:00+00:00,4025.0,4032.0,4022.1,4026.4
2026-06-30 23:00:00+00:00,4026.5,4031.8,4018.0,4018.9
2026-07-01 00:00:00+00:00,4018.9,4022.7,4006.0,4010.2
2026-07-01 01:00:00+00:00,4010.5,4013.2,3986.7,3990.8
2026-07-01 02:00:00+00:00,3990.4,3999.0,3983.0,3991.9
2026-07-01 03:00:00+00:00,3991.8,3999.9,3989.1,3992.9
2026-07-01 04:00:00+00:00,3993.4,3995.4,3985.3,3989.2
2026-07-01 05:00:00+00:00,3989.1,3992.0,3982.3,3986.6
2026-07-01 06:00:00+00:00,3986.6,3990.3,3975.9,3985.0
2026-07-01 07:00:00+00:00,3985.0,3991.0,3973.0,3988.7
2026-07-01 08:00:00+00:00,3988.8,3997.7,3982.5,3987.7
2026-07-01 09:00:00+00:00,3987.2,3999.3,3985.9,3997.9
2026-07-01 10:00:00+00:00,3997.8,4012.0,3994.6,4011.9
2026-07-01 11:00:00+00:00,4011.5,4049.4,4011.3,4044.0
2026-07-01 12:00:00+00:00,4044.5,4047.8,4033.2,4036.8
2026-07-01 13:00:00+00:00,4036.8,4122.6,4026.6,4104.2
2026-07-01 14:00:00+00:00,4104.8,4131.0,4096.9,4107.9
2026-07-01 15:00:00+00:00,4108.0,4108.8,4090.8,4095.1
2026-07-01 16:00:00+00:00,4095.5,4102.9,4084.0,4085.0
2026-07-01 17:00:00+00:00,4084.9,4087.6,4081.0,4082.2
2026-07-01 18:00:00+00:00,4082.3,4084.7,4071.3,4076.0
2026-07-01 19:00:00+00:00,4075.5,4082.2,4048.4,4052.3
2026-07-01 20:00:00+00:00,4052.2,4053.6,4042.1,4044.6
2026-07-01 22:00:00+00:00,4049.2,4057.2,4045.1,4057.2
2026-07-01 23:00:00+00:00,4056.8,4057.1,4045.5,4047.4
2026-07-02 00:00:00+00:00,4047.1,4065.0,4042.8,4063.5
2026-07-02 01:00:00+00:00,4063.5,4080.5,4057.0,4062.4
2026-07-02 02:00:00+00:00,4062.6,4073.2,4053.3,4069.2
2026-07-02 03:00:00+00:00,4069.4,4086.3,4067.7,4082.3
2026-07-02 04:00:00+00:00,4082.1,4085.0,4072.7,4073.2
2026-07-02 05:00:00+00:00,4073.1,4079.8,4065.2,4078.2
