time,open,high,low,close
2026-06-28 22:00:00+00:00,4089.8,4092.4,4083.8,4083.8
2026-06-28 22:15:00+00:00,4084.1,4084.3,4067.1,4071.3
2026-06-28 22:30:00+00:00,4070.9,4079.6,4069.6,4077.7
2026-06-28 22:45:00+00:00,4077.5,4083.5,4076.2,4080.8
2026-06-28 23:00:00+00:00,4080.2,4084.8,4079.5,4079.9
2026-06-28 23:15:00+00:00,4079.4,4079.4,4069.2,4071.2
2026-06-28 23:30:00+00:00,4069.9,4077.2,4065.9,4077.2
2026-06-28 23:45:00+00:00,4077.1,4080.4,4075.3,4076.7
2026-06-29 00:00:00+00:00,4076.3,4079.0,4068.1,4073.5
2026-06-29 00:15:00+00:00,4073.2,4076.6,4062.6,4062.6
2026-06-29 00:30:00+00:00,4062.8,4083.8,4062.8,4083.3
2026-06-29 00:45:00+00:00,4083.5,4088.7,4077.1,4083.9
2026-06-29 01:00:00+00:00,4083.7,4088.6,4068.0,4069.5
2026-06-29 01:15:00+00:00,4069.2,4080.6,4069.1,4074.3
2026-06-29 01:30:00+00:00,4073.3,4081.0,4070.1,4077.5
2026-06-29 01:45:00+00:00,4078.4,4078.4,4069.2,4075.8
2026-06-29 02:00:00+00:00,4075.4,4085.5,4073.7,4076.0
2026-06-29 02:15:00+00:00,4075.6,4085.3,4074.9,4083.3
2026-06-29 02:30:00+00:00,4083.4,4086.5,4073.2,4074.7
2026-06-29 02:45:00+00:00,4075.5,4084.3,4073.6,4080.8
2026-06-29 03:00:00+00:00,4081.1,4085.3,4079.9,4083.8
2026-06-29 03:15:00+00:00,4083.5,4090.4,4082.3,4087.0
2026-06-29 03:30:00+00:00,4087.4,4088.5,4080.0,4082.5
2026-06-29 03:45:00+00:00,4081.4,4086.0,4081.0,4083.2
2026-06-29 04:00:00+00:00,4082.8,4083.2,4078.5,4079.6
2026-06-29 04:15:00+00:00,4079.6,4080.8,4076.5,4079.7
2026-06-29 04:30:00+00:00,4079.6,4079.7,4066.9,4071.4
2026-06-29 04:45:00+00:00,4071.4,4072.0,4063.5,4065.7
2026-06-29 05:00:00+00:00,4065.5,4071.7,4061.1,4069.9
2026-06-29 05:15:00+00:00,4069.8,4071.3,4061.9,4063.7
2026-06-29 05:30:00+00:00,4063.5,4066.0,4053.8,4064.6
2026-06-29 05:45:00+00:00,4065.3,4071.4,4061.2,4069.0
2026-06-29 06:00:00+00:00,4068.6,4078.5,4068.1,4073.9
2026-06-29 06:15:00+00:00,4073.7,4077.8,4070.6,4075.5
2026-06-29 06:30:00+00:00,4075.4,4076.5,4069.6,4076.0
2026-06-29 06:45:00+00:00,4076.1,4079.6,4074.6,4077.0
2026-06-29 07:00:00+00:00,4077.5,4077.6,4070.7,4073.6
2026-06-29 07:15:00+00:00,4074.0,4081.1,4072.9,4080.6
2026-06-29 07:30:00+00:00,4080.9,4080.9,4075.7,4077.1
2026-06-29 07:45:00+00:00,4077.0,4083.2,4075.4,4076.3
2026-06-29 08:00:00+00:00,4075.7,4080.6,4074.9,4078.5
2026-06-29 08:15:00+00:00,4078.4,4080.0,4074.4,4075.5
2026-06-29 08:30:00+00:00,4075.3,4081.0,4068.8,4069.9
2026-06-29 08:45:00+00:00,4069.6,4071.5,4057.5,4060.9
2026-06-29 09:00:00+00:00,4061.3,4069.4,4059.2,4064.5
2026-06-29 09:15:00+00:00,4063.7,4067.5,4059.3,4061.2
2026-06-29 09:30:00+00:00,4061.6,4064.7,4054.4,4057.6
2026-06-29 09:45:00+00:00,4057.5,4058.3,4038.1,4045.8
2026-06-29 10:00:00+00:00,4046.5,4053.9,4041.5,4053.2
2026-06-29 10:15:00+00:00,4052.4,4053.1,4047.1,4051.4
2026-06-29 10:30:00+00:00,4051.8,4053.0,4045.9,4049.2
2026-06-29 10:45:00+00:00,4048.8,4052.7,4046.8,4051.1
2026-06-29 11:00:00+00:00,4051.7,4053.0,4046.9,4049.0
2026-06-29 11:15:00+00:00,4049.0,4050.5,4041.5,4046.2
2026-06-29 11:30:00+00:00,4046.4,4052.9,4044.1,4049.2
2026-06-29 11:45:00+00:00,4049.8,4056.7,4049.1,4053.3
2026-06-29 12:00:00+00:00,4053.5,4067.0,4052.5,4061.8
2026-06-29 12:15:00+00:00,4062.2,4064.2,4051.8,4052.5
2026-06-29 12:30:00+00:00,4052.6,4061.5,4051.8,4058.9
2026-06-29 12:45:00+00:00,4059.0,4062.3,4056.4,4057.8
2026-06-29 13:00:00+00:00,4057.8,4066.2,4057.7,4061.4
2026-06-29 13:15:00+00:00,4061.4,4064.0,4052.0,4052.0
2026-06-29 13:30:00+00:00,4052.3,4058.8,4048.1,4052.6
2026-06-29 13:45:00+00:00,4052.4,4054.5,4042.2,4046.4
2026-06-29 14:00:00+00:00,4046.6,4049.6,4021.6,4022.8
2026-06-29 14:15:00+00:00,4022.3,4042.6,4012.0,4038.9
2026-06-29 14:30:00+00:00,4038.8,4042.4,4034.1,4034.9
2026-06-29 14:45:00+00:00,4035.3,4044.7,4031.9,4039.5
2026-06-29 15:00:00+00:00,4039.9,4040.3,4033.1,4035.4
2026-06-29 15:15:00+00:00,4035.7,4041.7,4030.5,4038.4
2026-06-29 15:30:00+00:00,4038.6,4040.9,4031.5,4037.2
2026-06-29 15:45:00+00:00,4037.0,4045.0,4036.4,4041.5
2026-06-29 16:00:00+00:00,4041.5,4043.3,4037.9,4038.4
2026-06-29 16:15:00+00:00,4038.2,4041.2,4036.3,4038.2
2026-06-29 16:30:00+00:00,4038.3,4039.0,4033.0,4035.7
2026-06-29 16:45:00+00:00,4035.6,4042.5,4035.3,4038.4
2026-06-29 17:00:00+00:00,4038.5,4046.7,4037.8,4043.6
2026-06-29 17:15:00+00:00,4043.4,4045.3,4036.9,4038.3
2026-06-29 17:30:00+00:00,4038.5,4038.9,4035.2,4036.3
2026-06-29 17:45:00+00:00,4036.7,4037.1,4033.8,4035.3
2026-06-29 18:00:00+00:00,4035.7,4039.1,4035.0,4038.7
2026-06-29 18:15:00+00:00,4038.5,4040.0,4034.8,4035.7
2026-06-29 18:30:00+00:00,4035.7,4036.1,4033.9,4035.3
2026-06-29 18:45:00+00:00,4035.4,4035.6,4026.1,4027.8
2026-06-29 19:00:00+00:00,4027.7,4029.1,4022.2,4022.3
2026-06-29 19:15:00+00:00,4022.2,4031.5,4019.2,4031.5
2026-06-29 19:30:00+00:00,4031.5,4034.4,4030.9,4032.5
2026-06-29 19:45:00+00:00,4032.6,4033.0,4027.1,4030.4
2026-06-29 20:00:00+00:00,4030.6,4030.6,4027.2,4028.8
2026-06-29 20:15:00+00:00,4029.0,4032.5,4029.0,4032.5
2026-06-29 20:30:00+00:00,4032.5,4032.5,4029.2,4030.2
2026-06-29 20:45:00+00:00,4030.0,4031.9,4029.0,4030.5
2026-06-29 22:00:00+00:00,4032.5,4036.5,4030.7,4032.0
2026-06-29 22:15:00+00:00,4032.8,4034.8,4029.5,4029.9
2026-06-29 22:30:00+00:00,4029.8,4029.8,4024.3,4024.3
2026-06-29 22:45:00+00:00,4024.2,4031.3,4023.5,4028.4
2026-06-29 23:00:00+00:00,4029.0,4035.6,4028.2,4035.1
2026-06-29 23:15:00+00:00,4034.8,4036.7,4030.0,4031.1
2026-06-29 23:30:00+00:00,4030.6,4035.6,4027.4,4029.2
2026-06-29 23:45:00+00:00,4029.0,4032.1,4027.6,4029.4
2026-06-30 00:00:00+00:00,4028.6,4028.9,4017.1,4024.7
2026-06-30 00:15:00+00:00,4024.0,4025.2,4017.7,4019.6
2026-06-30 00:30:00+00:00,4020.4,4020.4,4004.2,4005.0
2026-06-30 00:45:00+00:00,4005.6,4007.6,3992.6,4001.3
2026-06-30 01:00:00+00:00,4000.5,4000.8,3955.4,3971.7
2026-06-30 01:15:00+00:00,3971.6,3994.2,3963.6,3992.1
2026-06-30 01:30:00+00:00,3992.1,3993.1,3979.4,3982.5
2026-06-30 01:45:00+00:00,3981.8,3986.9,3974.5,3982.7
2026-06-30 02:00:00+00:00,3982.4,3986.8,3965.5,3971.0
2026-06-30 02:15:00+00:00,3971.3,3979.0,3969.3,3975.5
2026-06-30 02:30:00+00:00,3975.0,3977.0,3967.4,3972.6
2026-06-30 02:45:00+00:00,3973.0,3983.8,3972.5,3975.8
2026-06-30 03:00:00+00:00,3976.1,3982.9,3976.0,3979.8
2026-06-30 03:15:00+00:00,3979.3,3984.2,3976.2,3979.1
2026-06-30 03:30:00+00:00,3979.1,3980.0,3973.1,3976.4
2026-06-30 03:45:00+00:00,3977.1,3984.0,3977.0,3983.8
2026-06-30 04:00:00+00:00,3982.5,3988.1,3981.3,3985.8
2026-06-30 04:15:00+00:00,3986.0,3997.1,3985.2,3995.8
